2012-08-01 21:25:53 startup archives unpack
2012-08-01 21:25:57 install libgudev-1.0-0:armel <none> 175-3.1
2012-08-01 21:25:57 status half-installed libgudev-1.0-0:armel 175-3.1
2012-08-01 21:25:57 status unpacked libgudev-1.0-0:armel 175-3.1
2012-08-01 21:25:57 status unpacked libgudev-1.0-0:armel 175-3.1
2012-08-01 21:25:58 install libnl-3-200:armel <none> 3.2.7-4
2012-08-01 21:25:58 status half-installed libnl-3-200:armel 3.2.7-4
2012-08-01 21:25:58 status unpacked libnl-3-200:armel 3.2.7-4
2012-08-01 21:25:58 status unpacked libnl-3-200:armel 3.2.7-4
2012-08-01 21:25:58 install libnl-genl-3-200:armel <none> 3.2.7-4
2012-08-01 21:25:58 status half-installed libnl-genl-3-200:armel 3.2.7-4
2012-08-01 21:25:58 status unpacked libnl-genl-3-200:armel 3.2.7-4
2012-08-01 21:25:58 status unpacked libnl-genl-3-200:armel 3.2.7-4
2012-08-01 21:25:58 install libnl-route-3-200:armel <none> 3.2.7-4
2012-08-01 21:25:58 status half-installed libnl-route-3-200:armel 3.2.7-4
2012-08-01 21:25:59 status unpacked libnl-route-3-200:armel 3.2.7-4
2012-08-01 21:25:59 status unpacked libnl-route-3-200:armel 3.2.7-4
2012-08-01 21:25:59 install libpolkit-gobject-1-0:armel <none> 0.105-1
2012-08-01 21:25:59 status half-installed libpolkit-gobject-1-0:armel 0.105-1
2012-08-01 21:25:59 status unpacked libpolkit-gobject-1-0:armel 0.105-1
2012-08-01 21:25:59 status unpacked libpolkit-gobject-1-0:armel 0.105-1
2012-08-01 21:25:59 install libnm-util2:armel <none> 0.9.4.0-5
2012-08-01 21:25:59 status half-installed libnm-util2:armel 0.9.4.0-5
2012-08-01 21:25:59 status unpacked libnm-util2:armel 0.9.4.0-5
2012-08-01 21:25:59 status unpacked libnm-util2:armel 0.9.4.0-5
2012-08-01 21:26:00 install libnm-glib4:armel <none> 0.9.4.0-5
2012-08-01 21:26:00 status half-installed libnm-glib4:armel 0.9.4.0-5
2012-08-01 21:26:00 status unpacked libnm-glib4:armel 0.9.4.0-5
2012-08-01 21:26:00 status unpacked libnm-glib4:armel 0.9.4.0-5
2012-08-01 21:26:00 install wpasupplicant:armel <none> 1.0-2
2012-08-01 21:26:00 status half-installed wpasupplicant:armel 1.0-2
2012-08-01 21:26:01 status triggers-pending man-db:armel 2.6.2-1
2012-08-01 21:26:01 status half-installed wpasupplicant:armel 1.0-2
2012-08-01 21:26:01 status unpacked wpasupplicant:armel 1.0-2
2012-08-01 21:26:01 status unpacked wpasupplicant:armel 1.0-2
2012-08-01 21:26:02 install libsystemd-login0:armel <none> 44-4
2012-08-01 21:26:02 status half-installed libsystemd-login0:armel 44-4
2012-08-01 21:26:02 status unpacked libsystemd-login0:armel 44-4
2012-08-01 21:26:02 status unpacked libsystemd-login0:armel 44-4
2012-08-01 21:26:02 install dbus:armel <none> 1.6.0-1
2012-08-01 21:26:02 status half-installed dbus:armel 1.6.0-1
2012-08-01 21:26:02 status half-installed dbus:armel 1.6.0-1
2012-08-01 21:26:03 status unpacked dbus:armel 1.6.0-1
2012-08-01 21:26:03 status unpacked dbus:armel 1.6.0-1
2012-08-01 21:26:03 install network-manager:armel <none> 0.9.4.0-5
2012-08-01 21:26:03 status half-installed network-manager:armel 0.9.4.0-5
2012-08-01 21:26:04 status half-installed network-manager:armel 0.9.4.0-5
2012-08-01 21:26:06 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:06 status unpacked network-manager:armel 0.9.4.0-5
2012-08-01 21:26:06 trigproc man-db:armel 2.6.2-1 2.6.2-1
2012-08-01 21:26:06 status half-configured man-db:armel 2.6.2-1
2012-08-01 21:26:26 status installed man-db:armel 2.6.2-1
2012-08-01 21:26:28 startup packages configure
2012-08-01 21:26:28 configure libgudev-1.0-0:armel 175-3.1 <none>
2012-08-01 21:26:28 status unpacked libgudev-1.0-0:armel 175-3.1
2012-08-01 21:26:28 status half-configured libgudev-1.0-0:armel 175-3.1
2012-08-01 21:26:29 status installed libgudev-1.0-0:armel 175-3.1
2012-08-01 21:26:29 configure libnl-3-200:armel 3.2.7-4 <none>
2012-08-01 21:26:29 status unpacked libnl-3-200:armel 3.2.7-4
2012-08-01 21:26:29 status unpacked libnl-3-200:armel 3.2.7-4
2012-08-01 21:26:29 status unpacked libnl-3-200:armel 3.2.7-4
2012-08-01 21:26:29 status half-configured libnl-3-200:armel 3.2.7-4
2012-08-01 21:26:29 status installed libnl-3-200:armel 3.2.7-4
2012-08-01 21:26:30 configure libnl-genl-3-200:armel 3.2.7-4 <none>
2012-08-01 21:26:30 status unpacked libnl-genl-3-200:armel 3.2.7-4
2012-08-01 21:26:30 status half-configured libnl-genl-3-200:armel 3.2.7-4
2012-08-01 21:26:30 status installed libnl-genl-3-200:armel 3.2.7-4
2012-08-01 21:26:30 configure libnl-route-3-200:armel 3.2.7-4 <none>
2012-08-01 21:26:30 status unpacked libnl-route-3-200:armel 3.2.7-4
2012-08-01 21:26:30 status half-configured libnl-route-3-200:armel 3.2.7-4
2012-08-01 21:26:30 status installed libnl-route-3-200:armel 3.2.7-4
2012-08-01 21:26:30 configure libpolkit-gobject-1-0:armel 0.105-1 <none>
2012-08-01 21:26:30 status unpacked libpolkit-gobject-1-0:armel 0.105-1
2012-08-01 21:26:30 status half-configured libpolkit-gobject-1-0:armel 0.105-1
2012-08-01 21:26:30 status installed libpolkit-gobject-1-0:armel 0.105-1
2012-08-01 21:26:30 configure libnm-util2:armel 0.9.4.0-5 <none>
2012-08-01 21:26:30 status unpacked libnm-util2:armel 0.9.4.0-5
2012-08-01 21:26:30 status half-configured libnm-util2:armel 0.9.4.0-5
2012-08-01 21:26:30 status installed libnm-util2:armel 0.9.4.0-5
2012-08-01 21:26:30 configure libnm-glib4:armel 0.9.4.0-5 <none>
2012-08-01 21:26:30 status unpacked libnm-glib4:armel 0.9.4.0-5
